Hour,Cluster_id,Price_weekday,Price_sat,Price_sun
0,0,22.2455938697318,23.26773584905661,17.75673076923077
1,0,21.259003831417623,22.12188679245283,16.85653846153847
2,0,21.25398467432951,21.703773584905658,16.4475
3,0,22.811762452107267,21.91037735849056,16.34692307692308
4,2,27.57275862068966,22.46226415094339,16.354230769230764
5,3,33.96816091954022,23.64622641509434,16.132499999999997
6,4,38.84609195402297,26.455094339622644,18.069615384615386
7,4,38.16226053639844,28.553584905660376,19.27634615384616
8,3,36.13007662835249,28.833584905660373,19.858076923076922
9,3,34.76678160919539,28.04962264150944,20.438653846153848
10,3,33.1429885057471,26.766603773584905,18.889615384615386
11,2,31.412758620689647,25.009999999999994,15.82076923076923
12,1,30.793639846743282,23.82094339622641,13.062884615384615
13,2,31.125938697318016,23.449622641509436,14.322307692307692
14,2,32.29329501915707,24.837547169811327,15.680192307692305
15,3,34.97827586206895,28.090377358490578,20.791923076923084
16,4,39.56819923371647,32.40754716981132,27.49230769230769
17,4,40.51260536398469,34.4866037735849,31.1675
18,4,38.23605363984672,32.42113207547171,31.034230769230778
19,3,33.99371647509578,29.3645283018868,29.105384615384615
20,3,30.608275862068957,27.65075471698113,27.80384615384616
21,2,27.81325670498085,26.148113207547176,26.044615384615383
22,1,25.202030651341012,22.720377358490573,22.322499999999994
23,1,24.044750957854408,19.459056603773583,20.9025
