,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,0,11,0,0,22.245593869731803,0.0,0.0,4,0,0,23.26773584905661,0.0,0.0,1,0,0,17.756730769230767,0.0,0.0
1,1,8,0,0,21.259003831417626,0.0,0.0,1,0,0,22.121886792452827,0.0,0.0,4,0,0,16.85653846153847,0.0,0.0
2,2,9,0,0,21.253984674329512,0.0,0.0,1,0,0,21.703773584905658,0.0,0.0,1,0,0,16.4475,0.0,0.0
3,3,11,0,0,22.811762452107267,0.0,0.0,4,0,0,21.910377358490557,0.0,0.0,4,0,0,16.34692307692308,0.0,0.0
4,4,11,2,1,27.572758620689658,4.760996168582391,52.3709578544063,3,2,1,22.46226415094339,0.5518867924528337,1.655660377358501,2,2,1,16.354230769230767,0.007307692307687574,0.014615384615375149
5,5,17,3,1,33.96816091954022,6.395402298850559,108.7218390804595,3,3,1,23.646226415094336,1.1839622641509457,3.5518867924528372,2,3,1,16.132499999999997,0.22173076923077062,0.44346153846154124
6,6,30,4,1,38.84609195402297,4.877931034482749,146.3379310344825,6,4,1,26.455094339622644,2.8088679245283075,16.853207547169845,2,4,1,18.069615384615386,1.9371153846153888,3.8742307692307776
7,7,56,4,2,38.16226053639844,2.032183908045951,113.80229885057327,11,4,2,28.553584905660376,0.2799999999999976,3.0799999999999734,11,4,2,19.27634615384616,0.581730769230763,6.399038461538392
8,8,79,3,0,36.13007662835249,0.0,0.0,19,3,0,28.833584905660373,0.0,0.0,14,3,0,19.858076923076922,0.0,0.0
9,9,79,3,0,34.76678160919539,0.0,0.0,20,3,0,28.049622641509444,0.0,0.0,16,3,0,20.438653846153848,0.0,0.0
10,10,75,3,2,33.142988505747105,1.7302298850574545,129.7672413793091,24,3,2,26.766603773584905,1.75660377358491,42.15849056603784,15,3,2,18.889615384615386,3.0688461538461542,46.032692307692315
11,11,75,2,2,31.41275862068965,0.6191187739463686,46.433908045977645,22,2,2,25.009999999999994,1.189056603773583,26.159245283018826,15,2,2,15.820769230769232,2.757884615384617,41.36826923076925
12,12,71,1,0,30.793639846743282,0.0,0.0,21,1,0,23.82094339622641,0.0,0.0,14,1,0,13.062884615384615,0.0,0.0
13,13,69,2,1,31.125938697318016,0.33229885057473396,22.928620689656643,18,2,1,23.449622641509443,0.3713207547169688,6.683773584905438,12,2,1,14.322307692307694,1.2594230769230794,15.113076923076953
14,14,59,2,0,32.29329501915707,0.0,0.0,19,2,0,24.83754716981133,0.0,0.0,11,2,0,15.680192307692304,0.0,0.0
15,15,56,3,1,34.97827586206895,2.6849808429118767,150.3589272030651,15,3,1,28.09037735849057,3.2528301886792406,48.79245283018861,9,3,1,20.791923076923087,5.111730769230784,46.00557692307705
16,16,52,4,1,39.56819923371647,4.589923371647522,238.67601532567116,13,4,1,32.40754716981132,4.317169811320753,56.123207547169784,7,4,1,27.49230769230769,6.700384615384603,46.90269230769222
17,17,41,4,0,40.51260536398469,0.0,0.0,11,4,0,34.4866037735849,0.0,0.0,5,4,0,31.1675,0.0,0.0
18,18,21,4,2,38.23605363984672,4.242337164750943,89.0890804597698,6,4,2,32.42113207547171,3.0566037735849108,18.339622641509465,4,4,2,31.03423076923077,1.9288461538461625,7.71538461538465
19,19,12,3,0,33.99371647509578,0.0,0.0,7,3,0,29.3645283018868,0.0,0.0,3,3,0,29.105384615384608,0.0,0.0
20,20,18,3,2,30.608275862068965,2.795019157088113,50.310344827586036,3,3,2,27.65075471698113,1.502641509433957,4.507924528301871,1,3,2,27.80384615384616,1.759230769230772,1.759230769230772
21,21,11,2,2,27.81325670498085,2.611226053639836,28.723486590038195,2,2,2,26.148113207547173,3.4277358490565994,6.855471698113199,2,2,2,26.044615384615387,3.7221153846153925,7.444230769230785
22,22,15,1,0,25.202030651341015,0.0,0.0,2,1,0,22.720377358490573,0.0,0.0,3,1,0,22.322499999999994,0.0,0.0
23,23,13,1,1,24.044750957854408,1.1572796934866076,15.0446360153259,3,1,1,19.459056603773586,3.261320754716987,9.783962264150961,2,1,1,20.9025,1.4199999999999946,2.839999999999989
